#DEPT	六五最大主应力	六五最小主应力
243.80000000	4.120817953	3.608656208
243.90000000	4.122841041	3.610359729
244.00000000	4.124861171	3.612059012
244.10000000	4.126878331	3.613753919
244.20000000	4.128889519	3.615440068
244.30000000	4.130897483	3.617121224
244.40000000	4.132902146	3.618797219
244.50000000	4.134906291	3.620472074
244.60000000	4.136911911	3.62214876
244.70000000	4.13891972	3.623828419
244.80000000	4.140936587	3.625521364
244.90000000	4.142958249	3.627221436
245.00000000	4.14498629	3.628931111
245.10000000	4.147021887	3.630652273
245.20000000	4.149060297	3.63237786
245.30000000	4.151101574	3.634107975
245.40000000	4.153142195	3.635837278
245.50000000	4.155181781	3.637565162
245.60000000	4.15721856	3.639288886
245.70000000	4.159250346	3.641005047
245.80000000	4.161279385	3.642717042
245.90000000	4.163304081	3.644422368
246.00000000	4.165326005	3.646123414
246.10000000	4.167347008	3.647823015
246.20000000	4.169368108	3.649522746
246.30000000	4.171391759	3.65122643
246.40000000	4.173417394	3.652933201
246.50000000	4.175447049	3.654646254
246.60000000	4.177479416	3.656363574
246.70000000	4.179513842	3.658084155
246.80000000	4.181551432	3.659809739
246.90000000	4.183595847	3.661546092
247.00000000	4.185647765	3.663294315
247.10000000	4.187727045	3.665085686
247.20000000	4.189838168	3.66692739
247.30000000	4.191977851	3.668814376
247.40000000	4.194180987	3.670801755
247.50000000	4.196412172	3.67283383
247.60000000	4.198669697	3.674907949
247.70000000	4.200926647	3.676981653
247.80000000	4.20315695	3.679013743
247.90000000	4.205356601	3.680997814
248.00000000	4.207457011	3.682825284
248.10000000	4.20950918	3.684576512
248.20000000	4.211500775	3.686231743
248.30000000	4.213439445	3.687802826
248.40000000	4.215373461	3.689366173
248.50000000	4.217311648	3.690935814
248.60000000	4.219302478	3.692588928
248.70000000	4.22132524	3.694292759
248.80000000	4.223396525	3.69607387
248.90000000	4.22549954	3.697905634
249.00000000	4.227607661	3.699745655
249.10000000	4.229707623	3.701572768
249.20000000	4.231766354	3.70333412
249.30000000	4.233794354	3.705046376
249.40000000	4.2357647	3.706666375
249.50000000	4.237683694	3.708204013
249.60000000	4.239569515	3.709688237
249.70000000	4.241411143	3.71110126
249.80000000	4.243234898	3.712485163
249.90000000	4.245048173	3.713851773
250.00000000	4.246870995	3.71523326
250.10000000	4.248719727	3.716656006
250.20000000	4.250590303	3.718113576
250.30000000	4.252524069	3.719672644
250.40000000	4.254497109	3.721294857
250.50000000	4.256503239	3.722970338
